model_kind,node_id,peer_node_id,flow_id,packets_sent,bytes_sent,packets_enqueued,packets_dropped,packets_forwarded,final_queue_occupancy_packets,final_queue_occupancy_bytes,packets_received,bytes_received,final_time_ns
port,3,10,,0,0,0,0,0,0,0,0,0,0
port,3,11,,0,0,0,0,0,0,0,0,0,0
port,4,12,,0,0,0,0,0,0,0,0,0,0
port,4,13,,0,0,20,0,20,0,0,0,0,916000
port,5,12,,0,0,0,0,0,0,0,0,0,0
port,5,13,,0,0,0,0,0,0,0,0,0,0
port,6,14,,0,0,30,0,30,0,0,0,0,924000
port,6,15,,0,0,0,0,0,0,0,0,0,0
port,7,14,,0,0,0,0,0,0,0,0,0,0
port,7,15,,0,0,0,0,0,0,0,0,0,0
port,8,0,,0,0,10,0,10,0,0,0,0,932000
port,8,1,,0,0,0,0,0,0,0,0,0,0
port,8,16,,0,0,10,0,10,0,0,0,0,916000
port,8,17,,0,0,0,0,0,0,0,0,0,0
port,9,0,,0,0,20,0,20,0,0,0,0,924000
port,9,1,,0,0,0,0,0,0,0,0,0,0
port,9,18,,0,0,0,0,0,0,0,0,0,0
port,9,19,,0,0,0,0,0,0,0,0,0,0
port,10,2,,0,0,10,0,10,0,0,0,0,932000
port,10,3,,0,0,0,0,0,0,0,0,0,0
port,10,16,,0,0,0,0,0,0,0,0,0,0
port,10,17,,0,0,0,0,0,0,0,0,0,0
port,11,2,,0,0,0,0,0,0,0,0,0,0
port,11,3,,0,0,20,0,20,0,0,0,0,940000
port,11,18,,0,0,0,0,0,0,0,0,0,0
port,11,19,,0,0,0,0,0,0,0,0,0,0
port,12,4,,0,0,20,0,20,0,0,0,0,948000
port,12,5,,0,0,0,0,0,0,0,0,0,0
port,12,16,,0,0,0,0,0,0,0,0,0,0
port,12,17,,0,0,0,0,0,0,0,0,0,0
port,13,4,,0,0,0,0,0,0,0,0,0,0
port,13,5,,0,0,0,0,0,0,0,0,0,0
port,13,18,,0,0,20,0,20,0,0,0,0,924000
port,13,19,,0,0,0,0,0,0,0,0,0,0
port,14,6,,0,0,0,0,0,0,0,0,0,0
port,14,7,,0,0,0,0,0,0,0,0,0,0
port,14,16,,0,0,30,0,30,0,0,0,0,932000
port,14,17,,0,0,0,0,0,0,0,0,0,0
port,15,6,,0,0,0,0,0,0,0,0,0,0
port,15,7,,0,0,0,0,0,0,0,0,0,0
port,15,18,,0,0,0,0,0,0,0,0,0,0
port,15,19,,0,0,0,0,0,0,0,0,0,0
port,16,8,,0,0,10,0,10,0,0,0,0,924000
port,16,10,,0,0,10,0,10,0,0,0,0,924000
port,16,12,,0,0,20,0,20,0,0,0,0,940000
port,16,14,,0,0,0,0,0,0,0,0,0,0
port,17,8,,0,0,0,0,0,0,0,0,0,0
port,17,10,,0,0,0,0,0,0,0,0,0,0
port,17,12,,0,0,0,0,0,0,0,0,0,0
port,17,14,,0,0,0,0,0,0,0,0,0,0
port,18,9,,0,0,0,0,0,0,0,0,0,0
port,18,11,,0,0,20,0,20,0,0,0,0,932000
port,18,13,,0,0,0,0,0,0,0,0,0,0
port,18,15,,0,0,0,0,0,0,0,0,0,0
port,19,9,,0,0,0,0,0,0,0,0,0,0
port,19,11,,0,0,0,0,0,0,0,0,0,0
port,19,13,,0,0,0,0,0,0,0,0,0,0
port,19,15,,0,0,0,0,0,0,0,0,0,0
sink,0,,4,0,0,0,0,0,0,0,10,10000,2000000
sink,0,,5,0,0,0,0,0,0,0,10,10000,2000000
sink,0,,7,0,0,0,0,0,0,0,10,10000,2000000
sink,2,,6,0,0,0,0,0,0,0,10,10000,2000000
sink,3,,2,0,0,0,0,0,0,0,10,10000,2000000
sink,3,,3,0,0,0,0,0,0,0,10,10000,2000000
sink,4,,0,0,0,0,0,0,0,0,10,10000,2000000
sink,4,,1,0,0,0,0,0,0,0,10,10000,2000000
