time_ns,model_kind,transition,node_id,peer_node_id,flow_id,packet_id,model_sequence,size_bytes,queue_occupancy_packets,queue_occupancy_bytes,departure_time_ns
116000,switch,switch_forward,9,,4,1,3,1000,,,
116000,switch,switch_forward,13,,2,1,3,1000,,,
116000,switch,switch_forward,14,,1,1,4,1000,,,
116000,switch,switch_forward,16,,5,1,5,1000,,,
116000,switch,switch_forward,16,,6,1,4,1000,,,
116000,switch,switch_forward,18,,3,1,2,1000,,,
116000,port,egress_enqueue,9,0,4,1,8,1000,1,1000,
116000,port,egress_enqueue,13,18,2,1,9,1000,1,1000,
116000,port,egress_enqueue,14,16,1,1,12,1000,1,1000,
116000,port,egress_enqueue,16,8,5,1,3,1000,1,1000,
116000,port,egress_enqueue,16,10,6,1,3,1000,1,1000,
116000,port,egress_enqueue,18,11,3,1,6,1000,1,1000,
116000,port,egress_dequeue,6,14,0,1,16,1000,0,0,124000
116000,port,egress_dequeue,9,0,4,1,10,1000,0,0,124000
116000,port,egress_dequeue,13,18,2,1,10,1000,0,0,124000
116000,port,egress_dequeue,14,16,1,1,13,1000,0,0,124000
116000,port,egress_dequeue,16,8,5,1,4,1000,0,0,124000
116000,port,egress_dequeue,16,10,6,1,4,1000,0,0,124000
116000,port,egress_dequeue,18,11,3,1,7,1000,0,0,124000
116000,port,egress_departure,1,9,4,1,11,1000,0,0,
116000,port,egress_departure,4,13,2,1,11,1000,0,0,
116000,port,egress_departure,6,14,1,1,15,1000,1,1000,
116000,port,egress_departure,8,16,6,1,5,1000,0,0,
116000,port,egress_departure,9,0,7,1,9,1000,1,1000,
116000,port,egress_departure,13,18,3,1,8,1000,0,0,
116000,port,egress_departure,14,16,5,1,11,1000,0,0,
116000,sink,sink_receive,0,,7,1,1,1000,,,
124000,switch,switch_forward,0,,4,1,4,1000,,,
124000,switch,switch_forward,8,,5,1,3,1000,,,
124000,switch,switch_forward,10,,6,1,1,1000,,,
124000,switch,switch_forward,11,,3,1,2,1000,,,
124000,switch,switch_forward,14,,0,1,5,1000,,,
124000,switch,switch_forward,16,,1,1,6,1000,,,
124000,switch,switch_forward,18,,2,1,3,1000,,,
124000,port,egress_enqueue,8,0,5,1,3,1000,1,1000,
124000,port,egress_enqueue,10,2,6,1,3,1000,1,1000,
124000,port,egress_enqueue,11,3,3,1,6,1000,1,1000,
124000,port,egress_enqueue,14,16,0,1,15,1000,1,1000,
124000,port,egress_enqueue,16,12,1,1,6,1000,1,1000,
124000,port,egress_enqueue,18,11,2,1,8,1000,1,1000,
124000,port,egress_dequeue,8,0,5,1,4,1000,0,0,132000
124000,port,egress_dequeue,10,2,6,1,4,1000,0,0,132000
124000,port,egress_dequeue,11,3,3,1,7,1000,0,0,132000
124000,port,egress_dequeue,14,16,0,1,16,1000,0,0,132000
124000,port,egress_dequeue,16,12,1,1,7,1000,0,0,132000
124000,port,egress_dequeue,18,11,2,1,10,1000,0,0,132000
124000,port,egress_departure,6,14,0,1,17,1000,0,0,
124000,port,egress_departure,9,0,4,1,11,1000,0,0,
124000,port,egress_departure,13,18,2,1,11,1000,0,0,
124000,port,egress_departure,14,16,1,1,14,1000,0,0,
124000,port,egress_departure,16,8,5,1,5,1000,0,0,
124000,port,egress_departure,16,10,6,1,5,1000,0,0,
124000,port,egress_departure,18,11,3,1,9,1000,1,1000,
124000,sink,sink_receive,0,,4,1,1,1000,,,
132000,switch,switch_forward,0,,5,1,5,1000,,,
132000,switch,switch_forward,2,,6,1,1,1000,,,
132000,switch,switch_forward,3,,3,1,2,1000,,,
132000,switch,switch_forward,11,,2,1,3,1000,,,
132000,switch,switch_forward,12,,1,1,2,1000,,,
132000,switch,switch_forward,16,,0,1,7,1000,,,
132000,port,egress_enqueue,11,3,2,1,8,1000,1,1000,
132000,port,egress_enqueue,12,4,1,1,6,1000,1,1000,
132000,port,egress_enqueue,16,12,0,1,8,1000,1,1000,
132000,port,egress_dequeue,11,3,2,1,10,1000,0,0,140000
132000,port,egress_dequeue,12,4,1,1,7,1000,0,0,140000
132000,port,egress_dequeue,16,12,0,1,10,1000,0,0,140000
132000,port,egress_departure,8,0,5,1,5,1000,0,0,
132000,port,egress_departure,10,2,6,1,5,1000,0,0,
132000,port,egress_departure,11,3,3,1,9,1000,1,1000,
132000,port,egress_departure,14,16,0,1,17,1000,0,0,
132000,port,egress_departure,16,12,1,1,9,1000,1,1000,
132000,port,egress_departure,18,11,2,1,11,1000,0,0,
132000,sink,sink_receive,0,,5,1,1,1000,,,
132000,sink,sink_receive,2,,6,1,1,1000,,,
132000,sink,sink_receive,3,,3,1,1,1000,,,
140000,switch,switch_forward,3,,2,1,3,1000,,,
140000,switch,switch_forward,4,,1,1,6,1000,,,
140000,switch,switch_forward,12,,0,1,3,1000,,,
140000,port,egress_enqueue,12,4,0,1,8,1000,1,1000,
140000,port,egress_dequeue,12,4,0,1,10,1000,0,0,148000
140000,port,egress_departure,11,3,2,1,11,1000,0,0,
140000,port,egress_departure,12,4,1,1,9,1000,1,1000,
140000,port,egress_departure,16,12,0,1,11,1000,0,0,
140000,sink,sink_receive,3,,2,1,1,1000,,,
140000,sink,sink_receive,4,,1,1,1,1000,,,
148000,switch,switch_forward,4,,0,1,7,1000,,,
148000,port,egress_departure,12,4,0,1,11,1000,0,0,
148000,sink,sink_receive,4,,0,1,1,1000,,,
200000,source,source_emit,1,,4,2,2,1000,,,
200000,source,source_emit,1,,6,2,2,1000,,,
200000,source,source_emit,1,,7,2,2,1000,,,
200000,source,source_emit,4,,2,2,2,1000,,,
200000,source,source_emit,4,,3,2,2,1000,,,
200000,source,source_emit,6,,0,2,2,1000,,,
200000,source,source_emit,6,,1,2,2,1000,,,
200000,source,source_emit,6,,5,2,2,1000,,,
200000,switch,switch_forward,1,,4,2,8,1000,,,
200000,switch,switch_forward,1,,6,2,7,1000,,,
200000,switch,switch_forward,1,,7,2,6,1000,,,
200000,switch,switch_forward,4,,2,2,9,1000,,,
200000,switch,switch_forward,4,,3,2,8,1000,,,
200000,switch,switch_forward,6,,0,2,8,1000,,,
200000,switch,switch_forward,6,,1,2,7,1000,,,
