flow_key_channel	flow_key_idx	flow_id	src	dst	flow_size	channel_id	chunk_id	chunk_count	conn_type	prev	parent	child
0	0	2961	98	99	262144	0	0	1	x		-1	
0	0	2962	115	116	262144	0	0	1	x		-1	
0	0	2963	99	100	262144	0	0	1	x		-1	
0	0	2964	34	35	262144	0	0	1	x		-1	
0	0	2965	93	94	262144	0	0	1	x		-1	
0	0	2966	104	105	262144	0	0	1	x		-1	
0	0	2967	84	85	262144	0	0	1	x		-1	
0	0	2968	27	28	262144	0	0	1	x		-1	
0	0	2969	113	114	262144	0	0	1	x		-1	
0	0	2970	25	26	262144	0	0	1	x		-1	
0	0	2971	127	120	262144	0	0	1	x		-1	
0	0	2972	4	5	262144	0	0	1	x		-1	
0	0	2973	110	111	262144	0	0	1	x		-1	
0	0	2974	44	45	262144	0	0	1	x		-1	
0	0	2975	63	56	262144	0	0	1	x		-1	
0	0	2976	112	113	262144	0	0	1	x		-1	
0	0	2977	24	25	262144	0	0	1	x		-1	
0	0	2978	76	77	262144	0	0	1	x		-1	
0	0	2979	82	83	262144	0	0	1	x		-1	
0	0	2980	97	98	262144	0	0	1	x		-1	
0	0	2981	35	36	262144	0	0	1	x		-1	
0	0	2982	118	119	262144	0	0	1	x		-1	
0	0	2983	30	31	262144	0	0	1	x		-1	
0	0	2984	111	104	262144	0	0	1	x		-1	
0	0	2985	83	84	262144	0	0	1	x		-1	
0	0	2986	92	93	262144	0	0	1	x		-1	
0	0	2987	2	3	262144	0	0	1	x		-1	
0	0	2988	119	112	262144	0	0	1	x		-1	
0	0	2989	125	126	262144	0	0	1	x		-1	
0	0	2990	42	43	262144	0	0	1	x		-1	
0	0	2991	96	97	262144	0	0	1	x		-1	
0	0	2992	33	34	262144	0	0	1	x		-1	
0	0	2993	74	75	262144	0	0	1	x		-1	
0	0	2994	31	24	262144	0	0	1	x		-1	
0	0	2995	124	125	262144	0	0	1	x		-1	
0	0	2996	81	82	262144	0	0	1	x		-1	
0	0	2997	102	103	262144	0	0	1	x		-1	
0	0	2998	3	4	262144	0	0	1	x		-1	
0	0	2999	117	118	262144	0	0	1	x		-1	
0	0	3000	109	110	262144	0	0	1	x		-1	
0	0	3001	43	44	262144	0	0	1	x		-1	
0	0	3002	90	91	262144	0	0	1	x		-1	
0	0	3003	103	96	262144	0	0	1	x		-1	
0	0	3004	75	76	262144	0	0	1	x		-1	
0	0	3005	122	123	262144	0	0	1	x		-1	
0	0	3006	80	81	262144	0	0	1	x		-1	
0	0	3007	41	42	262144	0	0	1	x		-1	
0	0	3008	91	92	262144	0	0	1	x		-1	
0	0	3009	73	74	262144	0	0	1	x		-1	
0	0	3010	123	124	262144	0	0	1	x		-1	
0	0	3011	32	33	262144	0	0	1	x		-1	
0	0	3012	116	117	262144	0	0	1	x		-1	
